2026-04-29 15:46:59,552 - INFO - NEW TARGET = 25
2026-04-29 15:46:59,552 - INFO - y0 = 2, target y = 25, dy = 0.6031964557255657
2026-04-29 15:46:59,612 - INFO - NEW TARGET = 2
2026-04-29 15:46:59,612 - INFO - y0 = 2, target y = 25, dy = 0.6031964557255657
2026-04-29 15:46:59,612 - INFO - y0 = 6, target y = 2, dy = -0.6030732061976156
2026-04-29 15:46:59,674 - INFO - y0 = 2, target y = 25, dy = 0.6031964557255657
2026-04-29 15:46:59,674 - INFO - y0 = 6, target y = 2, dy = -0.6030732061976156
2026-04-29 15:46:59,736 - INFO - y0 = 2, target y = 25, dy = 0.6031964557255657
2026-04-29 15:46:59,736 - INFO - y0 = 6, target y = 2, dy = -0.6030732061976156
2026-04-29 15:46:59,801 - INFO - y0 = 2, target y = 25, dy = 0.6031964557255657
2026-04-29 15:46:59,801 - INFO - y0 = 6, target y = 2, dy = -0.6030732061976156
2026-04-29 15:46:59,864 - INFO - y0 = 2, target y = 25, dy = 0.6031964557255657
2026-04-29 15:46:59,864 - INFO - y0 = 6, target y = 2, dy = -0.6030732061976156
2026-04-29 15:46:59,933 - INFO - y0 = 2, target y = 25, dy = 0.6031964557255657
2026-04-29 15:46:59,998 - INFO - y0 = 2, target y = 25, dy = 0.6031964557255657
2026-04-29 15:47:00,060 - INFO - y0 = 2, target y = 25, dy = 0.6031964557255657
2026-04-29 15:47:00,122 - INFO - y0 = 2, target y = 25, dy = 0.6031964557255657
2026-04-29 15:47:00,154 - INFO - y0 = 2, target y = 25, dy = 0.6031964557255657
2026-04-29 15:47:00,154 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:00,214 - INFO - y0 = 2, target y = 25, dy = 0.6031964557255657
2026-04-29 15:47:00,214 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:00,276 - INFO - y0 = 2, target y = 25, dy = 0.6031964557255657
2026-04-29 15:47:00,276 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:00,342 - INFO - y0 = 2, target y = 25, dy = 0.6031964557255657
2026-04-29 15:47:00,343 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:00,405 - INFO - y0 = 2, target y = 25, dy = 0.6031964557255657
2026-04-29 15:47:00,406 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:00,473 - INFO - y0 = 2, target y = 25, dy = 0.6031964557255657
2026-04-29 15:47:00,473 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:00,535 - INFO - NEW TARGET = 24
2026-04-29 15:47:00,536 - INFO - y0 = 11.651143291609053, target y = 24, dy = 0.06387337710783161
2026-04-29 15:47:00,536 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:00,599 - INFO - y0 = 11.651143291609053, target y = 24, dy = 0.06387337710783161
2026-04-29 15:47:00,599 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:00,667 - INFO - y0 = 11.651143291609053, target y = 24, dy = 0.06387337710783161
2026-04-29 15:47:00,667 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:00,736 - INFO - y0 = 11.651143291609053, target y = 24, dy = 0.06387337710783161
2026-04-29 15:47:00,736 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:00,797 - INFO - NEW TARGET = 21
2026-04-29 15:47:00,797 - INFO - y0 = 11.651143291609053, target y = 24, dy = 0.06387337710783161
2026-04-29 15:47:00,798 - INFO - y0 = 30, target y = 21, dy = -0.33409850034726357
2026-04-29 15:47:00,798 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:00,867 - INFO - y0 = 11.651143291609053, target y = 24, dy = 0.06387337710783161
2026-04-29 15:47:00,867 - INFO - y0 = 30, target y = 21, dy = -0.33409850034726357
2026-04-29 15:47:00,867 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:00,930 - INFO - y0 = 11.651143291609053, target y = 24, dy = 0.06387337710783161
2026-04-29 15:47:00,931 - INFO - y0 = 30, target y = 21, dy = -0.33409850034726357
2026-04-29 15:47:00,931 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:00,997 - INFO - y0 = 11.651143291609053, target y = 24, dy = 0.06387337710783161
2026-04-29 15:47:00,997 - INFO - y0 = 30, target y = 21, dy = -0.33409850034726357
2026-04-29 15:47:00,997 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:01,057 - INFO - y0 = 11.651143291609053, target y = 24, dy = 0.06387337710783161
2026-04-29 15:47:01,057 - INFO - y0 = 30, target y = 21, dy = -0.33409850034726357
2026-04-29 15:47:01,057 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:01,123 - INFO - NEW TARGET = 29
2026-04-29 15:47:01,123 - INFO - y0 = 11.651143291609053, target y = 24, dy = 0.06387337710783161
2026-04-29 15:47:01,123 - INFO - y0 = 30, target y = 21, dy = -0.33409850034726357
2026-04-29 15:47:01,123 - INFO - y0 = 30, target y = 29, dy = -0.0746279141489132
2026-04-29 15:47:01,123 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:01,189 - INFO - y0 = 11.651143291609053, target y = 24, dy = 0.06387337710783161
2026-04-29 15:47:01,189 - INFO - y0 = 30, target y = 21, dy = -0.33409850034726357
2026-04-29 15:47:01,189 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:01,253 - INFO - y0 = 11.651143291609053, target y = 24, dy = 0.06387337710783161
2026-04-29 15:47:01,254 - INFO - y0 = 30, target y = 21, dy = -0.33409850034726357
2026-04-29 15:47:01,254 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:01,315 - INFO - y0 = 11.651143291609053, target y = 24, dy = 0.06387337710783161
2026-04-29 15:47:01,315 - INFO - y0 = 30, target y = 21, dy = -0.33409850034726357
2026-04-29 15:47:01,315 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:01,376 - INFO - y0 = 11.651143291609053, target y = 24, dy = 0.06387337710783161
2026-04-29 15:47:01,376 - INFO - y0 = 30, target y = 21, dy = -0.33409850034726357
2026-04-29 15:47:01,377 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:01,446 - INFO - y0 = 11.651143291609053, target y = 24, dy = 0.06387337710783161
2026-04-29 15:47:01,446 - INFO - y0 = 30, target y = 21, dy = -0.33409850034726357
2026-04-29 15:47:01,446 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:01,505 - INFO - y0 = 11.651143291609053, target y = 24, dy = 0.06387337710783161
2026-04-29 15:47:01,505 - INFO - y0 = 30, target y = 21, dy = -0.33409850034726357
2026-04-29 15:47:01,505 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:01,572 - INFO - y0 = 11.651143291609053, target y = 24, dy = 0.06387337710783161
2026-04-29 15:47:01,572 - INFO - y0 = 30, target y = 21, dy = -0.33409850034726357
2026-04-29 15:47:01,572 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:01,642 - INFO - y0 = 11.651143291609053, target y = 24, dy = 0.06387337710783161
2026-04-29 15:47:01,642 - INFO - y0 = 30, target y = 21, dy = -0.33409850034726357
2026-04-29 15:47:01,642 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:01,704 - INFO - y0 = 11.651143291609053, target y = 24, dy = 0.06387337710783161
2026-04-29 15:47:01,705 - INFO - y0 = 30, target y = 21, dy = -0.33409850034726357
2026-04-29 15:47:01,705 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:01,770 - INFO - y0 = 11.651143291609053, target y = 24, dy = 0.06387337710783161
2026-04-29 15:47:01,770 - INFO - y0 = 30, target y = 21, dy = -0.33409850034726357
2026-04-29 15:47:01,770 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:01,833 - INFO - y0 = 11.651143291609053, target y = 24, dy = 0.06387337710783161
2026-04-29 15:47:01,833 - INFO - y0 = 30, target y = 21, dy = -0.33409850034726357
2026-04-29 15:47:01,833 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:01,896 - INFO - y0 = 11.651143291609053, target y = 24, dy = 0.06387337710783161
2026-04-29 15:47:01,897 - INFO - y0 = 30, target y = 21, dy = -0.33409850034726357
2026-04-29 15:47:01,897 - INFO - y0 = 2, target y = 30, dy = 0.25
2026-04-29 15:47:01,964 - INFO - NEW TARGET = 5
2026-04-29 15:47:01,964 - INFO - y0 = 11.651143291609053, target y = 24, dy = 0.06387337710783161
2026-04-29 15:47:01,964 - INFO - y0 = 30, target y = 21, dy = -0.33409850034726357
2026-04-29 15:47:01,964 - INFO - y0 = 29.925372085851087, target y = 5, dy = -0.6214806627284827
2026-04-29 15:47:01,964 - INFO - y0 = 2, target y = 30, dy = 0.25
